"Treatment","Response0","Response"
"Control",0.0505,0.0500751550402492
"Control",0.0544,0.0549766102708876
"Control",0.0512,0.0510179538436234
"Control",0.0497,0.0504660348080099
"Control",0.0491,0.0499809345685877
"Control",0.0549,0.0539911129987799
"Control",0.054,0.054056210976094
"Control",0.0539,0.0546848380887881
"Control",0.051,0.0511028700289316
"Control",0.0522,0.0521132294706069
"Control",0.0507,0.0516136666906998
"Control",0.0541,0.054006668312382
"0.0015",0.0581,0.0584551412709057
"0.0015",0.0536,0.0537452668039128
"0.0015",0.0531,0.0523058493653312
"0.0015",0.059,0.0597996499408036
"0.004",0.0557,0.0551921754687093
"0.004",0.0559,0.0549841190670617
"0.004",0.0561,0.0557558414385654
"0.004",0.0562,0.0571090072982945
"0.016",0.0543,0.0550790786321275
"0.016",0.0535,0.0538856068123132
"0.016",0.0564,0.0566810136275366
"0.016",0.0521,0.0530885395532474
"0.05",0.0535,0.0538114115982316
"0.05",0.0507,0.0511170609363355
"0.05",0.0513,0.0513881320494227
"0.05",0.0504,0.0505882840408944
"0.16",0.0237,0.0232783194745891
"0.16",0.0127,0.0119942272946239
"0.16",0.0266,0.0275260484650731
"0.16",0.0297,0.0305045980902389
"0.5",0.00653,0.00691141055684537
"0.5",0,0.000590934835374355
"0.5",0.00816,0.0072092273690179
"0.5",0.00132,0.00127559194218367
