[2025-11-11 16:59:35] Starting heterogeneous variance simulations with 48 parameter combinations 
[2025-11-11 16:59:35] Running simulation 1 of 48: pattern = homogeneous, max_effect = 5.000000 
[2025-11-11 17:01:10] Running simulation 2 of 48: pattern = homogeneous, max_effect = 5.000000 
[2025-11-11 17:02:28] Running simulation 3 of 48: pattern = homogeneous, max_effect = 5.000000 
[2025-11-11 17:03:39] Running simulation 4 of 48: pattern = increasing, max_effect = 5.000000 
[2025-11-11 17:05:16] Running simulation 5 of 48: pattern = increasing, max_effect = 5.000000 
[2025-11-11 17:06:38] Running simulation 6 of 48: pattern = increasing, max_effect = 5.000000 
[2025-11-11 17:07:53] Running simulation 7 of 48: pattern = decreasing, max_effect = 5.000000 
[2025-11-11 17:09:27] Running simulation 8 of 48: pattern = decreasing, max_effect = 5.000000 
[2025-11-11 17:10:44] Running simulation 9 of 48: pattern = decreasing, max_effect = 5.000000 
[2025-11-11 17:11:55] Running simulation 10 of 48: pattern = v_shaped, max_effect = 5.000000 
[2025-11-11 17:13:29] Running simulation 11 of 48: pattern = v_shaped, max_effect = 5.000000 
[2025-11-11 17:14:50] Running simulation 12 of 48: pattern = v_shaped, max_effect = 5.000000 
[2025-11-11 17:16:00] Running simulation 13 of 48: pattern = homogeneous, max_effect = 5.000000 
[2025-11-11 17:17:34] Running simulation 14 of 48: pattern = homogeneous, max_effect = 5.000000 
[2025-11-11 17:18:54] Running simulation 15 of 48: pattern = homogeneous, max_effect = 5.000000 
[2025-11-11 17:20:07] Running simulation 16 of 48: pattern = increasing, max_effect = 5.000000 
[2025-11-11 17:21:44] Running simulation 17 of 48: pattern = increasing, max_effect = 5.000000 
[2025-11-11 17:23:06] Running simulation 18 of 48: pattern = increasing, max_effect = 5.000000 
[2025-11-11 17:24:21] Running simulation 19 of 48: pattern = decreasing, max_effect = 5.000000 
[2025-11-11 17:25:52] Running simulation 20 of 48: pattern = decreasing, max_effect = 5.000000 
[2025-11-11 17:27:09] Running simulation 21 of 48: pattern = decreasing, max_effect = 5.000000 
[2025-11-11 17:28:18] Running simulation 22 of 48: pattern = v_shaped, max_effect = 5.000000 
[2025-11-11 17:29:50] Running simulation 23 of 48: pattern = v_shaped, max_effect = 5.000000 
[2025-11-11 17:31:08] Running simulation 24 of 48: pattern = v_shaped, max_effect = 5.000000 
[2025-11-11 17:32:18] Running simulation 25 of 48: pattern = homogeneous, max_effect = 20.000000 
[2025-11-11 17:33:50] Running simulation 26 of 48: pattern = homogeneous, max_effect = 20.000000 
[2025-11-11 17:35:09] Running simulation 27 of 48: pattern = homogeneous, max_effect = 20.000000 
[2025-11-11 17:36:22] Running simulation 28 of 48: pattern = increasing, max_effect = 20.000000 
[2025-11-11 17:37:58] Running simulation 29 of 48: pattern = increasing, max_effect = 20.000000 
[2025-11-11 17:39:21] Running simulation 30 of 48: pattern = increasing, max_effect = 20.000000 
[2025-11-11 17:40:38] Running simulation 31 of 48: pattern = decreasing, max_effect = 20.000000 
[2025-11-11 17:42:11] Running simulation 32 of 48: pattern = decreasing, max_effect = 20.000000 
[2025-11-11 17:43:28] Running simulation 33 of 48: pattern = decreasing, max_effect = 20.000000 
[2025-11-11 17:44:37] Running simulation 34 of 48: pattern = v_shaped, max_effect = 20.000000 
[2025-11-11 17:46:11] Running simulation 35 of 48: pattern = v_shaped, max_effect = 20.000000 
[2025-11-11 17:47:29] Running simulation 36 of 48: pattern = v_shaped, max_effect = 20.000000 
[2025-11-11 17:48:39] Running simulation 37 of 48: pattern = homogeneous, max_effect = 20.000000 
[2025-11-11 17:50:15] Running simulation 38 of 48: pattern = homogeneous, max_effect = 20.000000 
[2025-11-11 17:51:33] Running simulation 39 of 48: pattern = homogeneous, max_effect = 20.000000 
[2025-11-11 17:52:44] Running simulation 40 of 48: pattern = increasing, max_effect = 20.000000 
[2025-11-11 17:54:19] Running simulation 41 of 48: pattern = increasing, max_effect = 20.000000 
[2025-11-11 17:55:40] Running simulation 42 of 48: pattern = increasing, max_effect = 20.000000 
[2025-11-11 17:56:54] Running simulation 43 of 48: pattern = decreasing, max_effect = 20.000000 
[2025-11-11 17:58:25] Running simulation 44 of 48: pattern = decreasing, max_effect = 20.000000 
[2025-11-11 17:59:42] Running simulation 45 of 48: pattern = decreasing, max_effect = 20.000000 
[2025-11-11 18:00:51] Running simulation 46 of 48: pattern = v_shaped, max_effect = 20.000000 
[2025-11-11 18:02:23] Running simulation 47 of 48: pattern = v_shaped, max_effect = 20.000000 
[2025-11-11 18:03:41] Running simulation 48 of 48: pattern = v_shaped, max_effect = 20.000000 
