[2025-03-11 17:16:39] Starting heterogeneous variance simulations with 120 parameter combinations 
[2025-03-11 17:22:33] Starting heterogeneous variance simulations with 120 parameter combinations 
[2025-03-11 17:22:33] Running simulation 1 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:23:12] Running simulation 2 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:23:49] Running simulation 3 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:24:25] Running simulation 4 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:25:03] Running simulation 5 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:25:39] Running simulation 6 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:26:14] Running simulation 7 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:26:52] Running simulation 8 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:27:28] Running simulation 9 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:28:04] Running simulation 10 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:28:41] Running simulation 11 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:29:17] Running simulation 12 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:29:52] Running simulation 13 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:30:32] Running simulation 14 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:31:08] Running simulation 15 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:31:43] Running simulation 16 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:32:21] Running simulation 17 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:32:57] Running simulation 18 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:33:34] Running simulation 19 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:34:12] Running simulation 20 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:34:48] Running simulation 21 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:35:24] Running simulation 22 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:36:01] Running simulation 23 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:36:37] Running simulation 24 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:37:12] Running simulation 25 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:37:50] Running simulation 26 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:38:26] Running simulation 27 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:39:02] Running simulation 28 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:39:39] Running simulation 29 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:40:15] Running simulation 30 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:40:51] Running simulation 31 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:41:29] Running simulation 32 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:42:05] Running simulation 33 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:42:41] Running simulation 34 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:43:18] Running simulation 35 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:43:54] Running simulation 36 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:44:29] Running simulation 37 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:45:07] Running simulation 38 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:45:43] Running simulation 39 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 17:46:19] Running simulation 40 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:46:56] Running simulation 41 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:47:32] Running simulation 42 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 17:48:08] Running simulation 43 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:48:45] Running simulation 44 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:49:21] Running simulation 45 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 17:49:56] Running simulation 46 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:50:34] Running simulation 47 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:51:11] Running simulation 48 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 17:51:46] Running simulation 49 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 17:52:23] Running simulation 50 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 17:53:00] Running simulation 51 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 17:53:37] Running simulation 52 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 17:54:15] Running simulation 53 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 17:54:51] Running simulation 54 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 17:55:27] Running simulation 55 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 17:56:05] Running simulation 56 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 17:56:41] Running simulation 57 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 17:57:16] Running simulation 58 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 17:57:53] Running simulation 59 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 17:58:29] Running simulation 60 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 17:59:04] Running simulation 61 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 17:59:41] Running simulation 62 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 18:00:17] Running simulation 63 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 18:00:53] Running simulation 64 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:01:30] Running simulation 65 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:02:06] Running simulation 66 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:02:42] Running simulation 67 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:03:19] Running simulation 68 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:03:55] Running simulation 69 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:04:30] Running simulation 70 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 18:05:07] Running simulation 71 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 18:05:43] Running simulation 72 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 18:06:18] Running simulation 73 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 18:06:55] Running simulation 74 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 18:07:30] Running simulation 75 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 18:08:05] Running simulation 76 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 18:08:43] Running simulation 77 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 18:09:20] Running simulation 78 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 18:09:55] Running simulation 79 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 18:10:33] Running simulation 80 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 18:11:10] Running simulation 81 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 18:11:45] Running simulation 82 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 18:12:23] Running simulation 83 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 18:13:00] Running simulation 84 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 18:13:35] Running simulation 85 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 18:14:12] Running simulation 86 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 18:14:49] Running simulation 87 of 120: pattern = homogeneous, max_effect = 5.000000 
[2025-03-11 18:15:25] Running simulation 88 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 18:16:03] Running simulation 89 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 18:16:40] Running simulation 90 of 120: pattern = increasing, max_effect = 5.000000 
[2025-03-11 18:17:16] Running simulation 91 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 18:17:53] Running simulation 92 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 18:18:28] Running simulation 93 of 120: pattern = decreasing, max_effect = 5.000000 
[2025-03-11 18:19:04] Running simulation 94 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 18:19:41] Running simulation 95 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 18:20:18] Running simulation 96 of 120: pattern = v_shaped, max_effect = 5.000000 
[2025-03-11 18:20:54] Running simulation 97 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 18:21:33] Running simulation 98 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 18:22:10] Running simulation 99 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 18:22:46] Running simulation 100 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:23:24] Running simulation 101 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:24:01] Running simulation 102 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:24:36] Running simulation 103 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:25:13] Running simulation 104 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:25:49] Running simulation 105 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:26:25] Running simulation 106 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 18:27:03] Running simulation 107 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 18:27:39] Running simulation 108 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 18:28:14] Running simulation 109 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 18:28:51] Running simulation 110 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 18:29:27] Running simulation 111 of 120: pattern = homogeneous, max_effect = 20.000000 
[2025-03-11 18:30:01] Running simulation 112 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:30:39] Running simulation 113 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:31:16] Running simulation 114 of 120: pattern = increasing, max_effect = 20.000000 
[2025-03-11 18:31:51] Running simulation 115 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:32:29] Running simulation 116 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:33:04] Running simulation 117 of 120: pattern = decreasing, max_effect = 20.000000 
[2025-03-11 18:33:39] Running simulation 118 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 18:34:16] Running simulation 119 of 120: pattern = v_shaped, max_effect = 20.000000 
[2025-03-11 18:34:52] Running simulation 120 of 120: pattern = v_shaped, max_effect = 20.000000 
